Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.31,0.01,0.2901938367733929
100% Corpus,6,0.31,0.31,0.3204859573329104
100% Corpus,6,0.31,0.61,0.3733491504558108
100% Corpus,6,0.31,0.9099999999999999,0.4003885551618445
100% Corpus,6,0.31,symmetric,0.33045410840944706
100% Corpus,6,0.61,0.01,0.2991373082002052
100% Corpus,6,0.61,0.31,0.3436627085906263
100% Corpus,6,0.61,0.61,0.3427138653080759
100% Corpus,6,0.61,0.9099999999999999,0.3153244014774466
100% Corpus,6,0.61,symmetric,0.3255187184419187
100% Corpus,6,0.9099999999999999,0.01,0.29436030102993926
100% Corpus,6,0.9099999999999999,0.31,0.3085758650395929
100% Corpus,6,0.9099999999999999,0.61,0.3236978239872537
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.308065017813328
100% Corpus,6,0.9099999999999999,symmetric,0.3090913481297593
100% Corpus,6,symmetric,0.01,0.3106893057952312
100% Corpus,6,symmetric,0.31,0.341889464655516
100% Corpus,6,symmetric,0.61,0.3538563751738635
100% Corpus,6,symmetric,0.9099999999999999,0.3687263925860344
100% Corpus,6,symmetric,symmetric,0.32247901189573785
100% Corpus,6,asymmetric,0.01,0.3717012918530446
100% Corpus,6,asymmetric,0.31,0.4271850244561341
100% Corpus,6,asymmetric,0.61,0.44300385343379434
100% Corpus,6,asymmetric,0.9099999999999999,0.4577857916765269
100% Corpus,6,asymmetric,symmetric,0.412725622588385
100% Corpus,7,0.01,0.01,0.3159587915886459
100% Corpus,7,0.01,0.31,0.35446979311206983
100% Corpus,7,0.01,0.61,0.40908896615658297
100% Corpus,7,0.01,0.9099999999999999,0.33281042672177547
100% Corpus,7,0.01,symmetric,0.3493036930711047
100% Corpus,7,0.31,0.01,0.31191428326263065
100% Corpus,7,0.31,0.31,0.335436846695958
100% Corpus,7,0.31,0.61,0.4143418116063992
100% Corpus,7,0.31,0.9099999999999999,0.42298613600311474
100% Corpus,7,0.31,symmetric,0.3104626923249816
100% Corpus,7,0.61,0.01,0.31175309849778465
100% Corpus,7,0.61,0.31,0.3384091808325164
100% Corpus,7,0.61,0.61,0.34811931144859504
100% Corpus,7,0.61,0.9099999999999999,0.3907418967047585
100% Corpus,7,0.61,symmetric,0.326712952303069
100% Corpus,7,0.9099999999999999,0.01,0.3051692445446732
100% Corpus,7,0.9099999999999999,0.31,0.3075582988309627
100% Corpus,7,0.9099999999999999,0.61,0.3042923900714936
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3637170579264503
100% Corpus,7,0.9099999999999999,symmetric,0.2941082372540886
100% Corpus,7,symmetric,0.01,0.3236780543803733
100% Corpus,7,symmetric,0.31,0.33939338562287596
100% Corpus,7,symmetric,0.61,0.41397595146667326
100% Corpus,7,symmetric,0.9099999999999999,0.37881330833758514
100% Corpus,7,symmetric,symmetric,0.32840753332915434
100% Corpus,7,asymmetric,0.01,0.35951093445339344
100% Corpus,7,asymmetric,0.31,0.5105005281603165
100% Corpus,7,asymmetric,0.61,0.4726705072608364
100% Corpus,7,asymmetric,0.9099999999999999,0.44810209760267855
100% Corpus,7,asymmetric,symmetric,0.46417520136899176
100% Corpus,8,0.01,0.01,0.32592479022783705
100% Corpus,8,0.01,0.31,0.36304519895699616
100% Corpus,8,0.01,0.61,0.4386306445507474
100% Corpus,8,0.01,0.9099999999999999,0.4425683117216981
100% Corpus,8,0.01,symmetric,0.39132800921196753
100% Corpus,8,0.31,0.01,0.33163848186358347
100% Corpus,8,0.31,0.31,0.37517419542418584
100% Corpus,8,0.31,0.61,0.46996691736019813
100% Corpus,8,0.31,0.9099999999999999,0.44430677538139696
100% Corpus,8,0.31,symmetric,0.3619807963342878
100% Corpus,8,0.61,0.01,0.34602258492755683
100% Corpus,8,0.61,0.31,0.3178221419828028
100% Corpus,8,0.61,0.61,0.3573243027659294
100% Corpus,8,0.61,0.9099999999999999,0.4157445405834517
100% Corpus,8,0.61,symmetric,0.30997731606311085
100% Corpus,8,0.9099999999999999,0.01,0.28875628855773955
100% Corpus,8,0.9099999999999999,0.31,0.32618894543539156
100% Corpus,8,0.9099999999999999,0.61,0.31824031894226185
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3671244164410542
100% Corpus,8,0.9099999999999999,symmetric,0.2854818576189564
100% Corpus,8,symmetric,0.01,0.33286925333675593
100% Corpus,8,symmetric,0.31,0.39114958028035895
100% Corpus,8,symmetric,0.61,0.3912717873305519
100% Corpus,8,symmetric,0.9099999999999999,0.3833887082224421
100% Corpus,8,symmetric,symmetric,0.3520637385940869
100% Corpus,8,asymmetric,0.01,0.3403914643599355
100% Corpus,8,asymmetric,0.31,0.4593694889419666
100% Corpus,8,asymmetric,0.61,0.4685553367745943
100% Corpus,8,asymmetric,0.9099999999999999,0.4461967906694503
100% Corpus,8,asymmetric,symmetric,0.45861135683733534
100% Corpus,9,0.01,0.01,0.3457688372565629
100% Corpus,9,0.01,0.31,0.3714153615344148
100% Corpus,9,0.01,0.61,0.45709185968654403
100% Corpus,9,0.01,0.9099999999999999,0.4016308264783207
100% Corpus,9,0.01,symmetric,0.3369924922841887
100% Corpus,9,0.31,0.01,0.33855924963895867
